Title,Genre,Director,Country,Year,Rating
Взгляд зимы,['Криминальный триллер'],['Це Чун'],['США'],2013,5.7
Взрослый мир,['комедия-драма'],['Скотт Коффи'],['США'],2013,6.1
Венера в мехах,"['комедия', 'драма']",['Роман Полански'],"['Франция', 'Польша']",2013,7.1
Великий Гэтсби,"['драма', 'мелодрама']",['Баз Лурман'],"['США', 'Австралия']",2013,7.2
Великая красота,"['сатирическая', 'трагикомедия']",['Паоло Соррентино'],"['Италия', 'Франция']",2013,7.7
В поисках короля,"['фэнтези, боевик, история']",['Николай Хомасуридзе'],"['Грузия', 'США']",2013,7.7
Василиса,"['исторический фильм', 'военный фильм', 'драма']",['Антон Сиверс'],['Россия'],2013,4.6
В Сингапур с любовью,['документальный фильм'],['Тан Пин Пин'],['Сингапур'],2013,7.2
В мгновение ока,['документальный'],['Вернер Херцог'],['США'],2013,7.4
Ведьмы из Сугаррамурди,['комедия ужасов'],['Алекс де ла Иглесиа'],['Испания'],2013,6.4
Валенса,['фильм-биография'],['Анджей Вайда'],['Польша'],2013,6.5
В безопасности,"['Боевик', 'комедия']","['Адам Бимер, Ивэн Бимер']",['США'],2013,5.1
Бэмби,"['документальный фильм', 'ЛГБТ-фильм']",['Себастьен Лифшиц'],['Франция'],2013,7.2
Вакольда,['драма'],['Лусия Пуэнсо'],"['Аргентина', 'Франция', 'Норвегия', 'Испания']",2013,6.7
В бегах,['драма'],['Дэвид Лоури'],['США'],2013,6.4
Боргман,['триллер'],['Алекс ван Вармердам'],"['Нидерланды', 'Бельгия', 'Дания']",2013,6.7
Буйдои Тёлона,"['боевик', 'драма', 'гангстерский', 'боевые искусства']",['Чарли Нгуен'],['Вьетнам'],2013,6.5
Большая афера,['комедийный фильм'],['Дон МакКеллар'],"['Канада', 'США']",2013,7.0
Битва проклятых,"['фантастика', 'ужасы', 'триллер', 'боевик', 'приключения']",['Кристофер Хаттон'],['США'],2013,4.4
Близкие враги,"['боевик', 'триллер']",['Питер Хайамс'],"['Канада', 'США']",2013,5.1
Большая свадьба,"['комедия', 'мелодрама']",['Джастин Закэм'],['США'],2013,5.6
Бойфренд из будущего,"['комедия', 'драма', 'научная фантастика']",['Ричард Кёртис'],['Великобритания'],2013,7.8
"Благослови меня, Ультима",['драма'],['Карл Франклин'],['США'],2013,6.4
Билет на Vegas,"['комедия', 'приключения']",['Гор Киракосян'],"['Россия', 'США']",2013,4.1
Бергдорф Гудман: Больше века на вершине модного олимпа,['документальный фильм'],['Мэттью Миле'],['США'],2013,6.3
Белль,"['исторический, драма']",['Амма Асанте'],['Великобритания'],2013,7.3
Биг-Сур,['драма'],['Майкл Полиш'],['США'],2013,5.8
Афтершок,"['триллер', 'фильм ужасов']",['Николас Лопес'],"['США', 'Чили']",2013,4.8
Байкеры 3,"['боевик', 'триллер']","['Виджай Кришна Ачария', '(англ.)', 'рус.']",['Индия'],2013,5.4
Бархатное утро,"['драматический фильм', 'романтический фильм']",['Нил Лабут'],['США'],2013,5.8
Белль и Себастьян,"['драма', 'приключение', 'семейный фильм']",['Николя Ванье'],['Франция'],2013,6.9
Афера по-американски,"['криминальная', 'чёрная комедия']",['Дэвид О. Расселл'],['США'],2013,7.2
"Артур Ньюман, профессионал гольфа","['комедийная драма', 'комедийный фильм']",['Данте Ариола'],['США'],2013,5.6
Атомная школа: Возвращение. Часть 1,"['научная фантастика', 'комедия', 'хоррор']",['Ллойд Кауфман'],['США'],2013,5.3
Атаки 26/11,"['триллер', 'докудрама', 'криминальный', 'исторический']",['Рам Гопал Варма'],['Индия'],2013,6.9
Атлантический рубеж,"['фантастика', 'приключения', 'боевик', 'пародия']",['Джаред Кон'],['США'],2013,1.6
Астрал: Глава 2,['фильм ужасов'],['Джеймс Ван'],['США'],2013,6.5
Анна Каренина,['драма'],['Кристиан Дюгей'],"['Италия', 'Франция', 'Германия', 'Испания']",2013,7.2
"Анжелика, маркиза ангелов","['мелодрама', 'приключения']",['Ариель Зейтун'],['Франция'],2013,6.1
Армия Франкенштейна,['ужасы'],['Ричард Рапхорст'],"['США', 'Нидерланды', 'Чехия']",2013,5.4
Акулий торнадо,"['фильм-катастрофа', 'ужасы', 'фантастика', 'трэш', 'комедия']",['Энтони Ферранте'],['США'],2013,3.3
Армагеддец,['научно-фантастическая комедия'],['Эдгар Райт'],"['США', 'Великобритания', 'Япония']",2013,6.9
Андроид,['технотриллер'],['Бобби Бурманс'],['Нидерланды'],2013,5.4
Апофегей,['драма'],['Станислав Митин'],['Россия'],2013,6.0
Адский бункер: Восстание спецназа,"['боевик', 'фильм ужасов']",['Киран Паркер'],['Великобритания'],2013,5.0
Адвокат,['драма'],"['Ян Усок', '(англ.)', 'рус.']",['Республика Корея'],2013,7.7
Алан Партридж: Альфа Отец,['комедия'],['Деклан Лоуни'],"['Великобритания', 'Франция']",2013,6.9
Агент особого назначения,['Детектив'],"['Константин Статский', '(1-й сезон),', 'Наталья Шабанова', '(2-й сезон),', 'Андрей Элинсон', '(3-й и 4-й сезоны)']",['Россия'],2013,7.6
Август: Графство Осейдж,['драма'],['Джон Уэллс'],['США'],2013,7.2
Агент Картер,"['короткометражка', 'боевик', 'приключения', 'научная фантастика']","[""Луис Д'Эспозито""]",['США'],2013,7.4
«3096 дней»,['драма'],['Шерри Хорман'],['Германия'],2013,6.5
47 ронинов,"['фэнтези', 'боевик', 'драма']",['Карл Ринш'],"['США', 'Япония']",2013,6.2
12 раундов: Перезагрузка,"['боевик', 'триллер']",['Роэль Рейн'],['США'],2013,5.3
21 и больше,['комедия'],"['Джон Лукас', 'Скотт Мур']",['США'],2013,5.8
42 / Номер 42,"['драма', 'спортивный фильм']",['Брайан Хелгеленд'],['США'],2013,7.5
12 лет рабства,"['историческая', 'драма']",['Стив Маккуин'],['США'],2013,8.1
7 главных желаний,"['комедия', 'мелодрама']",['Вадим Соколовский'],['Россия'],2013,1.5
Как малые дети,"['драма', 'мелодрама']",['Тодд Филд'],['США'],2006,7.5
11.6,['драма'],['Филипп Годо'],['Франция'],2013,5.7
Как жениться и остаться холостым,['комедия'],['Эрик Лартиго'],['Франция'],2006,6.7
Казино «Рояль»,"['боевик', 'приключенческий фильм']",['Мартин Кэмпбелл'],"['Великобритания', 'США', 'Германия', 'Чехия', 'Италия', 'Багамские Острова']",2006,8.0
Как полюбить соседку,['комедия'],['Арман Мастроянни'],['США'],2006,5.8
История Рона Кларка,['драма'],['Рэнда Хейнс'],"['США', 'Канада']",2006,7.5
Кабульский экспресс,"['боевик', 'триллер', 'приключенческий', 'роуд-муви']",['Кабир Хан'],['Индия'],2006,6.8
Изоляция,"['триллер', 'чёрная комедия']",['Кристофер Смит'],['Великобритания'],2006,6.4
Ислам: что необходимо знать Западу,['документальный'],"['Брайан Дейли,  Грегори М. Дэвис']",['США'],2006,6.5
Идиократия,"['антиутопия', 'фантастика', 'комедия']",['Майк Джадж'],['США'],2006,6.5
Иллюзионист,"['драма', 'мистика', 'мелодрама', 'триллер']",['Нил Бергер'],"['США', 'Чехия']",2006,7.5
Избави нас от лукавого,['Документальный фильм'],['Эми Джей Берг'],['США'],2006,7.9
Зов мёртвых,['ужасы'],['Майкл Фейфер'],['США'],2006,3.4
Истинный цвет,['драматический фильм'],['Джордж Галло'],['США'],2006,6.8
Изображая жертву,['чёрная комедия'],['Кирилл Серебренников'],['Россия'],2006,7.1
Зомби по имени Фидо,['зомби-комедия'],['Эндрю Карри'],['Канада'],2006,6.7
Игра по чужим правилам,['драма'],['Джеймс Гартнер'],['США'],2006,7.2
Игра в убийство,['фильм ужасов'],['Роберт Харари'],['США'],2006,3.9
Змеиный полёт,"['боевик', 'фильм ужасов']",['Дэвид Р. Эллис'],"['США', 'Германия', 'Канада']",2006,5.5
Идеальное создание,['фильм ужасов'],['Гленн Стэндринг'],"['Великобритания', 'Новая Зеландия']",2006,5.4
Звездные каникулы,['мюзикл'],['Семён Горов'],"['Украина', 'Россия']",2006,2.8
Заяц над бездной,"['романтическая комедия', 'мелодрама']",['Тигран Кеосаян'],['Россия'],2006,6.0
Зелёный Шершень,"['супергеройский фильм', 'боевик']",['Аурелий Путримуль'],['Франция'],2006,7.0
Звезда солдата,"['военный фильм', 'драма']",['Кристоф де Понфилли'],"['Германия', 'Франция', 'Афганистан']",2006,6.9
Зеро. Сиреневая Литва,"['криминальная драма', 'триллер']",['Эмилис Веливис'],['Литва'],2006,7.3
Заяц Ватанена,['приключенческий фильм'],['Марк Ривьер'],"['Франция', 'Бельгия', 'Болгария']",2006,5.1
Запределье,"['приключенческий фильм', 'драма', 'фэнтези']",['Тарсем Сингх'],['США'],2006,7.8
Жизнь других,"['триллер', 'драма']",['Флориан Хенкель фон Доннерсмарк'],['Германия'],2006,8.4
Заражение: Вирус смерти,['зомби-комедия'],['Патрик Динхат'],['США'],2006,4.7
Живой,"['мистическая', 'драма']",['Александр Велединский'],['Россия'],2006,6.4
Запасные игроки,['комедия'],['Деннис Дуган'],['США'],2006,5.5
Заброшенный дом,"['фильм ужасов', 'триллер']",['Начо Серда'],"['Великобритания', 'Испания', 'Болгария']",2006,5.5
Забытая во тьме,['фильм ужасов'],['Стивен Н. Монро'],['США'],2006,4.8
Жесть,['триллер'],['Денис Нейманд'],['Россия'],2006,5.1
Живи свободным или умри,['комедия'],"['Грегг Кавет', 'Энди Робин']",['США'],2006,5.4
Дурная слава,['драма'],"['Дуглас Макграт', '(англ.)', 'рус.']",['США'],2006,7.0
Женюсь на Первой Встречной,"['романтическая', 'комедия']",['Майкл Йен Блэк'],['США'],2006,5.6
Жестокое пробуждение: Нефтяной крах,['документальный'],"['Бейзил Гелпке', 'Рэй МакКормак']",['Швейцария'],2006,7.7
Душа тишины,"['драматический', 'триллер']",['Джейми Бэббит'],['США'],2006,6.1
Дьявол носит Prada,['комедия-драма'],['Дэвид Френкель'],['США'],2006,6.9
Её роковой недостаток,['детектив'],['Джордж Менделюк'],['США'],2006,5.3
Жара,"['комедия', 'мелодрама']",['Резо Гигинеишвили'],['Россия'],2006,4.3
Дурдом на колёсах,"['Комедия', 'Приключения']",['Барри Зонненфелд'],"['США', 'Великобритания', 'Германия']",2006,5.6
Дублёр,['комедия'],['Франсис Вебер'],"['Франция', 'Италия', 'Бельгия']",2006,6.6
Другой мир II: Эволюция,"['боевик', 'фильм-триллер', 'фильм ужасов', 'girls with guns', 'фильм о вампирах', 'фэнтезийный фильм', 'фильм о вервольфах']",['Лен Уайзман'],['США'],2006,6.7
Дрейк и Джош в Голливуде,"['боевик', 'комедия', 'криминал']",['Стив Хофер'],['США'],2006,6.7
Друг семьи,['драматический фильм'],['Паоло Соррентино'],['Италия'],2006,7.1
Дрейф,['триллер'],['Ганс Хорн'],['Германия'],2006,5.2
Дом у озера,"['драма', 'мелодрама', 'альтернативная история']",['Алехандро Агрести'],['США'],2006,6.8
Доктор Дулиттл 3,"['фэнтезийный фильм', 'комедийный фильм']",['Rich Thorne'],['США'],2006,4.0
"Добро пожаловать, или соседям вход воспрещён","['семейная', 'комедия']",['Джон Уайтселл'],['США'],2006,5.0
Дом большой мамочки 2,"['боевик', 'комедия']",['Джон Уайтселл'],['США'],2006,4.8
Дом храбрых,"['драма', 'военный фильм']",['Ирвин Уинклер'],['США'],2006,5.6
Дон. Главарь мафии,['боевик'],['Фархан Ахтар'],['Индия'],2006,7.1
Во сне и наяву,"['комедия', 'фильм-боевик']",['Магомед Магомедов'],['Россия'],2006,
Долина волков: Ирак,"['боевик', 'приключения']","['Сердар Акар, Sadullah Sentürk']",['Турция'],2006,5.7
Доверься мужчине,['комедия'],['Барт Фрейндлих'],['США'],2006,5.7
До первого снега,"['триллер', 'драма']",['Марк Фергус'],['США'],2006,6.2
Дитя человеческое,"['приключенческий фильм', 'драма', 'фантастика', 'триллер', 'антиутопия']",['Альфонсо Куарон'],"['Великобритания', 'США']",2006,7.9
Добейся успеха 3: Всё или ничего,['комедия'],['Стив Рэш'],['США'],2006,5.5
Дневники зомби,"['фильм о зомби', 'зомби-апокалипсис', 'найденная плёнка']","['Майкл Г. Бартлетт', 'Кевин Гейтс']",['Великобритания'],2006,4.0
Дикость,"['слэшер', 'триллер']",['Майкл Бассетт'],['Великобритания'],2006,6.1
Дорога на Гуантанамо,"['драма', 'документальный']","['Мат Уайткросс', 'Майкл Уинтерботтом']",['Великобритания'],2006,7.4
Дикари,['Философская комедия'],['Виктор Шамиров'],['Россия'],2006,6.5
Держи ритм,['драма'],['Лиз Фридлендер'],['США'],2006,6.6
"Дикие тигры, которых я знал",['драма'],['Кэм Арчер'],['США'],2006,6.0
Десять лодок,"['комедия', 'драма']","['Рольф Де Хир', ', Питер Джигирр']",['Австралия'],2006,6.9
Джиндабайн,"['драматический фильм', 'экранизация литературного произведения']",['Рэй Лоуренс'],['Австралия'],2006,6.3
Дети без присмотра,['комедия'],['Пол Фиг'],['США'],2006,5.3
День денег,['Кинокомедия'],['Алексей Рудаков'],['Россия'],2006,4.5
Детонатор,"['триллер', 'боевик']",['По-Чин Леонг'],"['США', 'Румыния']",2006,4.7
Дежа вю,"['фантастика', 'драма', 'триллер']",['Тони Скотт'],['США'],2006,7.1
Дивизия радости,"['военная', 'драма']",['Рег Тревисс'],"['Великобритания', 'Германия', 'Венгрия']",2006,6.0
Девушки мечты,"['драма', 'мюзикл']",['Билл Кондон'],['США'],2006,6.6
Девушка из воды,"['триллер', 'фэнтези']",['М. Найт Шьямалан'],['США'],2006,5.5
Девочка-полицейский Йо-йо,"['фантастика', 'боевик']",['Кэнта Фукасаку'],['Япония'],2006,5.0
Девственность ни к чему,['молодёжная комедия'],['Иво Мачарачек'],['Чехия'],2006,2.3
Девдас,['романтическая комедия'],"['ЯВС Чоудри', '(англ.)', 'рус.']",['Индия'],2006,5.0
Две недели,"['драма', 'комедия']",['Стив Стокман'],['США'],2006,6.4
Две девушки,['молодёжный фильм'],['Кутлуг Атаман'],['Турция'],2006,5.4
Громобой,['боевик'],['Джеффри Сакс'],"['Великобритания', 'США', 'Германия']",2006,5.1
Громовы,['драма'],['Александр Баранов'],['Россия'],2006,7.4
Грбавица,['драма'],['Ясмила Жбанич'],"['Босния и Герцеговина', 'Австрия', 'Германия', 'Хорватия']",2006,7.2
Граффити,"['комедия', 'драма']",['Игорь Апасян'],['Россия'],2006,6.8
Даника,"['триллер', 'драма']",['Ариэль Вромен'],['США'],2006,5.5
Граф Монтенегро,"['приключенческий фильм', 'комедия']",['Марина Мигунова'],['Россия'],2006,4.8
Двойная фамилия,['драма'],['Станислав Митин'],"['Россия', 'Казахстан']",2006,7.0
Глюки,"['триллер', 'ужасы']",['Уильям Фридкин'],['США'],2006,6.1
Город секса,['Порнофильм'],['Пьер Вудман'],['Испания'],2006,5.8
Голубой пирог,['комедия'],['Тодд Стефенс'],['США'],2006,5.0
Березовский TRIP,"['документальная', 'драма', 'фильм ужасов', 'триллер']","['Дмитрий Пищулин', 'Дмитрий Охотников']",['Россия'],2006,
Гей-бар в маленьком городке,['документальный'],['Малкольм Ингрэм'],['США'],2006,7.1
Гимнастка,['Мелодрама'],['Нед Фар'],['США'],2006,6.3
Где Фред?,"['кинокомедия', 'мелодрама', 'спорт']",['Анно Зауль'],['Германия'],2006,6.3
Гетто,"['военный фильм', 'исторический фильм']",['Аудрюс Юзенас'],"['Германия', 'Литва']",2006,6.7
Гамильтоны,"['ужасы', 'триллер']","['Митчел Алтери', 'Фил Флорес']",['США'],2006,5.0
Гензель и Гретель,['детский фильм'],['Анне Вильд'],['Германия'],2006,6.1
Гамера: Маленькие герои,"['фантастика-', 'дайкайдзю', ', приключения, боевик']","['Рюта Тасаки', '(англ.)', 'рус.', 'Chiisaki yûsha-tachi Gamera (2006).jpg']",['Япония'],2006,6.6
Гарфилд 2,"['комедия', 'семейный']",['Тим Хилл'],"['США', 'Великобритания']",2006,5.0
"""Вы не оставите меня...""",['мелодрама'],['Алла Сурикова'],['Россия'],2006,5.9
Гадкие лебеди,"['фантастика', 'драма', 'триллер']",['Константин Лопушанский'],"['Россия', 'Франция']",2006,6.9
Второй шанс,['драма'],['Фил Джоану'],['США'],2006,7.1
Выжить в Йобурге,['фантастика'],['Нил Бломкамп'],['Канада'],2006,7.2
Выборы 2,"['гангстерская', 'драма']",['Джонни То'],['Гонконг'],2006,7.4
Вторжение динозавра,"['ужасы', 'фантастика', 'драма']",['Пон Чжун Хо'],['Республика Корея'],2006,7.1
Взлом и проникновение,"['триллер', 'мелодрама', 'драма']",['Энтони Мингелла'],"['Великобритания', 'США']",2006,6.5
Вскрытие пришельца,"['комедия', 'научная фантастика']",['Джонни Кэмпбелл'],['Великобритания'],2006,5.9
Второй в команде,['боевик'],['Саймон Феллоуз'],"['США', 'Румыния']",2006,4.9
Воспоминания о Мацуко,"['драма', 'комедия', 'мюзикл']",['Накасима Тэцуя'],['Япония'],2006,7.8
Времена года,['драма'],['Нури Бильге Джейлан'],['Турция'],2006,7.1
Время,['драма'],['Ким Ки Дук'],"['Республика Корея', 'Япония']",2006,7.1
Вольные стрелки,['Исторический фильм'],"['Монс Морлинд', '[en]', 'Бьёрн Стейн']",['Швеция'],2006,5.5
Воскресенье в Кигали,['драма'],['Робер Фавро'],['Канада'],2006,7.2
Воссоединение семьи Мэдеи,"['комедия', 'драма', 'мелодрама']",['Тайлер Перри'],['США'],2006,5.3
Вооружён и очень опасен,"['боевик', 'комедия']","['Пури Джаганнатх', '(англ.)', 'рус.']",['Индия'],2006,8.0
Все парни любят Мэнди Лэйн,['Слэшер'],['Джонатан Ливайн'],['США'],2006,5.5
«Волкодав из рода Серых псов»,['славянское фэнтези'],['Николай Лебедев'],['Россия'],2006,5.7
Возврат,"['драма', 'мелодрама', 'комедия']","['Шон Эллис', '[en]']",['Великобритания'],2006,7.1
Волки-оборотни,"['фильм ужасов', 'боевик']",['Джеймс Айзек'],"['Канада', 'Германия', 'США', 'Великобритания']",2006,4.5
Возвращение Супермена,['супергеройский фильм'],['Брайан Сингер'],['США'],2006,6.1
Вода,['Псевдодокументальный фильм'],['Анастасия Попова'],['Россия'],2006,5.9
Вся королевская рать,"['триллер', 'драма']",['Стивен Заиллян'],"['США', 'Германия']",2006,6.1
Водопад ангела,['вестерн'],['Дэвид фон Анкен'],['США'],2006,6.6
Внутри башен-близнецов,['документальный фильм'],['Ричард Дэйл'],['Великобритания'],2006,7.7
Визит семьи Дракулы,['чёрная комедия'],['Моник Брет (Monique Breet)'],['Нидерланды'],2006,6.2
Возвращение,"['трагикомедия', 'драма']",['Педро Альмодовар'],['Испания'],2006,7.6
Византийская принцесса,['приключенческий фильм'],['Висенте Аранда'],"['Испания', 'Италия', 'Великобритания']",2006,4.0
"Ветер, который качает вереск",['драма'],['Кен Лоуч'],"['Ирландия', 'Великобритания', 'Германия', 'Италия', 'Испания', 'Франция']",2006,7.5
Венди Ву: Королева в бою,"['детская', 'комедия', 'с', 'боевыми искусствами']",['Джон Лэнг'],"['США', 'Канада']",2006,5.4
Ведьма,"['мистика', 'фильм ужасов']",['Олег Фесенко'],['Россия'],2006,3.9
Венера,['драма'],['Роджер Мичелл'],['Великобритания'],2006,7.1
Вавилон,['драма'],['Алехандро Гонсалес Иньярриту'],"['США', 'Мексика', 'Франция']",2006,7.5
"Весь мир, кроме Японии, тонет","['кинофантастика', 'комедийный фильм']",['Минору Кавасаки'],['Япония'],2006,4.7
Взрослее некуда,['Драма'],['Кристина Розендаль'],['Дания'],2006,5.6
Весёлые и загорелые 3,['комедия'],['Патрис Леконт'],['Франция'],2006,4.0
В погоне за счастьем,['драма'],['Габриеле Муччино'],['США'],2006,8.0
В поисках сокровищ тамплиеров,"['приключенческий фильм', 'семейный фильм']",['Каспер Барфёд'],['Дания'],2006,5.7
"Взрывная любовь, юноша А",['драма'],['Такаси Миикэ'],['Япония'],2006,6.7
"В том году, когда мои родители уехали в отпуск",['драма'],['Кау Амбургер (Cao Hamburger)'],['Бразилия'],2006,7.4
Бунтарка,"['подростковая', 'комедийная драма']",['Джессика Бендингер'],['США'],2006,6.4
Борджиа,"['исторический фильм', 'биография']",['Антонио Эрнандес'],['Испания'],2006,6.1
В одну сторону,"['криминальная драма', ', психилогический', 'триллер']",['Рето Салимбени'],"['Германия', 'Канада']",2006,6.1
Бумер. Фильм второй,['драма'],['Пётр Буслов'],['Россия'],2006,6.1
Борат,['комедия'],['Ларри Чарльз'],"['США', 'Великобритания']",2006,7.4
Братство камня,"['приключенческий фильм', 'криминальный фильм', 'драма', 'триллер', 'фэнтези']",['Гийом Никлу'],"['Франция', 'Италия', 'Германия']",2006,4.8
Братан Мунна 2,"['драма', 'комедия']",['Раджкумар Хирани'],['Индия'],2006,8.0
Больная любовь,['Мелодрама'],['Тудор Джурджу'],['Румыния'],2006,6.6
Библиотекарь 2: Возвращение в Копи Царя Соломона,"['боевик', 'приключенческий фильм', 'фэнтези']",['Джонатан Фрейкс'],['США'],2006,6.1
Бобби,"['драма', 'исторический']",['Эмилио Эстевес'],['США'],2006,7.0
Бладрейн,"['боевик', 'приключения', 'фэнтези']",['Уве Болл'],"['Германия', 'США']",2006,3.0
Беспредел на окраине,"['драма', 'криминал']",['Пол Голдман'],['Австралия'],2006,5.8
Богдан-Зиновий Хмельницкий,"['исторический', 'драма']",['Николай Мащенко'],['Украина'],2006,6.2
Бесстрашный,['драма'],['Ронни Ю'],"['Гонконг', 'Китай']",2006,7.6
Безумная няня,['Комедия'],"['Кевин Коннор', '[en]']",['США'],2006,4.2
«Большая любовь»,"['романтическая', 'комедия', 'мелодрама']",['Дмитрий Фикс'],['Россия'],2006,5.4
Белый плен,"['приключенческий фильм', 'драматический фильм']",['Фрэнк Маршалл'],['США'],2006,7.3
Блондинка в шоколаде,['кинокомедия'],['Уильям Хейнс'],['США'],2006,1.7
Белое шёлковое платье,"['драма', 'мелодрама']",['Лыу Хюинь'],"['Вьетнам', 'Вьеткьеу США']",2006,7.5
Безнадёга,"['драма', 'фэнтези', 'фильм ужасов', 'триллер']",['Мик Гаррис'],['США'],2006,5.2
Башни-близнецы,['фильм-катастрофа'],['Оливер Стоун'],['США'],2006,6.0
Без сожаления,['драма'],['Хи Ил Сонг'],['Республика Корея'],2006,6.9
Бандитки,"['вестерн', 'комедия']","['Эспен Сандберг', 'Хоаким Роннинг']","['США', 'Франция', 'Мексика']",2006,5.7
Атака куриных зомби,"['комедия', 'хоррор', 'мюзикл']",['Ллойд Кауфман'],['США'],2006,6.0
Байкеры 2: Настоящие чувства,"['боевик', 'триллер', 'мелодрама']",['Санджай Гадхви'],['Индия'],2006,6.5
Ассистентка,['психологическая драма'],['Дени Деркур'],['Франция'],2006,7.0
Две жизни Ясобуро Хачия,"['документальный фильм', 'драма']",['Алексей Погребной'],['Россия'],2007,
Беги без оглядки,"['боевик', 'драма', 'криминальный фильм']",['Уэйн Крэймер'],"['США', 'Германия']",2006,7.3
Американский пирог представляет: Голая миля,['кинокомедия'],['Джо Нуссбаум'],"['США', 'Канада']",2006,5.1
Артур и минипуты,"['Мультфильм', 'Фэнтези', 'Приключения', 'Семейный', 'Кинокомедия']",['Люк Бессон'],"['Франция', 'США']",2006,6.0
Апокалипсис,"['драма', 'триллер', 'приключения', 'исторический']",['Мел Гибсон'],['США'],2006,7.8
Альфа дог,"['драма', 'криминальный фильм', 'фильм-биография']",['Ник Кассаветис'],['США'],2006,6.9
Архитектор,['Драма'],['Мэтт Таубер'],['США'],2006,5.5
Андерсен. Жизнь без любви,"['Биография', 'Сказка']",['Эльдар Рязанов'],['Россия'],2006,5.5
Аквамарин,"['фэнтези', 'комедия', 'семейный фильм']",['Элизабет Аллен'],"['Австралия', 'США']",2006,5.4
Азирис Нуна,['фантастика'],['Олег Компасов'],['Россия'],2006,3.4
Американская мечта,"['комедия', 'музыка']",['Пол Вайц'],['США'],2006,5.5
Адреналин,"['боевик', 'триллер', 'криминал', 'чёрная комедия']","['Марк Невелдайн', 'Брайан Тейлор']",['США'],2006,6.9
Агент 117:,"['комедия', 'боевик']",['Мишель Хазанавичус'],['Франция'],2006,7.0
«Аврора»,"['драма', 'мелодрама']",['Оксана Байрак'],['Украина'],2006,5.9
Алиби,"['комедия', 'драма', 'мелодрама']","['Мэтт Чековски', 'Курт Маттила']",['США'],2006,6.3
"Авива, любовь моя",['драматический фильм'],['Шеми Зархин'],['Израиль'],2006,7.2
977,"['фантастика', 'драма']",['Николай Хомерики'],['Россия'],2006,5.6
45-й калибр,['драма'],['Гари Леннон'],['США'],2006,5.5
30 дней до рассвета,"['фильм ужасов', 'комедия']",['Андерс Банке'],['Швеция'],2006,5.5
31-й километр,"['ужасы', 'мистика']",['Ригоберто Кастаньеда'],"['Мексика', 'Испания']",2006,5.3
«16 кварталов»,"['криминальный фильм', 'драма', 'триллер']",['Ричард Доннер'],['США'],2006,6.6
50 таблеток,['Драма'],['Тео Эвгерино'],['США'],2006,4.9
12:08 к востоку от Бухареста,['комедия'],['Корнелиу Порумбою'],['Румыния'],2006,7.3
10 шагов к успеху,['комедийная драма'],['Брэд Силберлинг'],['США'],2006,6.5
300 спартанцев,"['кинокомикс', 'пеплум', 'неонуар']",['Зак Снайдер'],['США'],2006,7.6
"6 фильмов, которые не дадут вам уснуть","['ужасы', 'фантастика', 'триллер', 'мистика', 'драма']",['Нарсисо Ибаньес Серрадор'],['Испания'],2006,7.9
5 неизвестных...,['триллер'],['Симон Бранд'],['США'],2006,6.4
Жёлтый дом,"['социально-психологическая', 'драма']",['Амор Хаккар'],"['Алжир', 'Франция']",2007,7.0
Жизнь в розовом цвете,"['драма', 'музыкальный фильм', 'биография']",['Оливье Даан'],"['Франция', 'Великобритания', 'Чехия']",2007,7.6
Жестокость,['драма'],['Марина Любакова'],['Россия'],2007,5.7
2:37,['драматический фильм'],['Мулари К. Теллури'],['Австралия'],2006,6.8
Живые и мёртвые,"['военный фильм', 'драма']",['Кристиан Милич'],"['Хорватия', 'Босния и Герцеговина']",2007,6.1
Жатва,"['ужасы', 'триллер']",['Стивен Хопкинс'],['США'],2007,5.6
Её сердце,"['биографическая', 'драма']",['Майкл Уинтерботтом'],"['США', 'Великобритания']",2007,6.6
Железнодорожный роман,"['драма', 'детектив']",['Клод Лелуш'],['Франция'],2007,7.1
Есть мечты — будут и путешествия,"['мелодрама', 'драма']",['Брэд Айзекс'],['США'],2007,7.2
Дюймовочка,"['сказка', 'детский фильм']",['Леонид Нечаев'],['Россия'],2007,6.3
Душка,"['драма', 'комедия']",['Йос Стеллинг'],"['Россия', 'Нидерланды', 'Украина', 'Бельгия']",2007,6.6
Дом Арчера,['Комедия'],['Дина Гахман'],['США'],2007,7.2
Дух Времени,"['документальный фильм', 'военный фильм']",['Питер Джозеф'],['США'],2007,8.1
Дом страхов,"['фильм ужасов', 'триллер']",['Райан Литтл'],['США'],2007,4.7
Долина цветов,"['приключенческий фильм', 'драма', 'мелодрама']",['Налин Пан'],"['Франция', 'Германия', 'Швейцария', 'Индия', 'Япония']",2007,6.9
Доктор Плонкъ,"['комедийный фильм', 'немое кино']",['Рольф де Хир'],['Австралия'],2007,6.6
Добейся успеха: Всё за победу,['комедия'],['Стив Рэш'],['США'],2007,5.1
Доказательство смерти,"['слэшер', 'чёрная комедия']",['Квентин Тарантино'],['США'],2007,7.0
До смерти,"['драма', 'боевик']",['Саймон Феллоуз'],"['США', 'Германия', 'Великобритания', 'Болгария']",2007,5.7
Дневники няни,"['комедия', 'драма']","['Шари Спрингер Берман', 'Роберт Пульчини']",['США'],2007,6.2
Дневник вампирши,['Ужасы'],"['Марк Джеймс', ""Фил О'Шей""]",['Великобритания'],2007,4.2
Дикая жизнь,"['Биография', 'драма']",['Ахим Борнхак'],['Германия'],2007,6.3
Дитя с Марса,['драма'],['Менно Мейес'],['США'],2007,6.7
