Title,Genre,Director,Country,Year,Rating
Любовь-морковь: Восстание машин,['комедийный фильм'],['Андрей Волгин'],['Россия'],2023,3.9
Лимб,['криминальная драма'],['Иван Сен'],['Австралия'],2023,6.1
Люби снова,"['комедия', 'мелодрама']",['Джеймс С. Строуз'],['США'],2023,5.9
"Кто угодно, но не ты",['романтическая комедия'],['Уилл Глак'],['США'],2023,6.7
Луна,['научно-фантастический фильм'],['Ким Ён Хва'],['Республика Корея'],2023,6.0
Кто убил BlackBerry,['докудрама'],['Мэтт Джонсон'],['Канада'],2023,7.4
Крушение,['остросюжетный боевик'],['Жан-Франсуа Рише'],['США'],2023,6.5
Крик. Ночь перед Рождеством,"['рождественский фильм', 'комедийный фильм', 'слэшер']",['Тайлер Макинтайр'],['США'],2023,5.2
Крик 6,['слэшер'],"['Мэтт Беттинелли-Олпин', 'Тайлер Джиллетт']",['США'],2023,6.5
Крупный улов,"['криминальный фильм', 'триллер']",['Брайан Хелгеленд'],['США'],2023,6.0
Крид 3,"['спорт', 'драма']",['Майкл Б. Джордан'],['США'],2023,6.7
Кратер,"['научно-фантастический фильм', 'приключенческий фильм']",['Кайл Патрик Альварез'],['США'],2023,5.3
Король неба,['военный фильм'],['Лю Сяоши'],['Китай'],2023,6.0
Копенгагена не существует,['драматический фильм'],['Мартин Сковбьерг'],['Дания'],2023,5.9
Колодец чудес,"['фэнтезийный фильм', 'драматический фильм', 'семейный фильм']",['Влад Марсавин'],"['США', 'Италия']",2023,5.2
Кровь за кровь,"['экшн', 'триллер']",['Мэтью Нэйбл'],['австралия'],2023,5.0
Команданте,"['исторический фильм', 'драматический фильм', 'военный фильм']",['Эдоардо Де Анджелис'],"['Италия', 'Бельгия']",2023,6.8
Корабль призраков,['Фильм ужасов'],['Gary Shore'],['Великобритания'],2023,4.2
Контроль,"['боевик', 'фильм-триллер']",,['Великобритания'],2023,5.2
"Конец, с которого мы начинаем","['экранизация романа', 'фильм про выживание']",['Махалия Бело'],['Великобритания'],2023,6.6
Кошки-мышки,"['экранизация литературного произведения', 'чёрная комедия', 'психологический фильм-триллер']",['Сюзанна Фогель'],['США'],2023,6.0
Колбаса Митрофана Аксёнова,"['документальный', 'биографический', 'мокьюментари']",['Алексей Федорченко'],['Россия'],2023,
